measurer,type,time,number,,00:00:00.00,00:00:01.00
13,S,08:40:49.69,,,,08:40:49.69
13,S,08:40:50.57,,,,08:40:50.57
13,S,08:41:26.42,,,,08:41:26.42
13,S,08:41:27.23,,,,08:41:27.23
13,S,08:43:25.37,1,,,08:43:25.37
13,S,08:43:25.97,,,,08:43:25.97
13,S,08:43:55.51,2,,,08:43:55.51
13,S,08:43:56.41,,,,08:43:56.41
13,S,08:46:31.49,8,,,08:46:31.49
13,S,08:46:32.09,,,,08:46:32.09
13,S,08:48:35.89,14,,,08:48:35.89
13,S,08:48:36.49,,,,08:48:36.49
13,S,08:49:02.76,15,,,08:49:02.76
13,S,08:49:30.66,17,,,08:49:30.66
13,S,08:49:31.04,,,,08:49:31.04
13,S,08:49:59.53,11,,,08:49:59.53
13,S,08:49:59.91,,,,08:49:59.91
13,S,08:50:26.07,19,,,08:50:26.07
13,S,08:50:26.63,,,,08:50:26.63
13,S,08:50:53.08,12,,,08:50:53.08
13,S,08:50:53.98,,,,08:50:53.98
13,S,08:51:17.41,6,,,08:51:17.41
13,S,08:51:18.07,,,,08:51:18.07
13,S,08:51:43.82,36,,,08:51:43.82
13,S,08:51:44.26,,,,08:51:44.26
13,S,08:52:05.29,24,,,08:52:05.29
13,S,08:52:05.94,,,,08:52:05.94
13,S,08:52:30.45,25,,,08:52:30.45
13,S,08:52:31.30,,,,08:52:31.30
13,S,08:53:04.36,16,,,08:53:04.36
13,S,08:53:05.22,,,,08:53:05.22
13,S,08:53:31.48,22,,,08:53:31.48
13,S,08:53:32.24,,,,08:53:32.24
13,S,08:53:55.08,27,,,08:53:55.08
13,S,08:53:55.76,,,,08:53:55.76
13,S,08:54:19.26,32,,,08:54:19.26
13,S,08:54:19.64,,,,08:54:19.64
13,S,08:54:47.52,5,,,08:54:47.52
13,S,08:54:47.97,,,,08:54:47.97
13,S,08:55:12.81,26,,,08:55:12.81
13,S,08:55:13.45,,,,08:55:13.45
13,S,08:55:45.87,18,,,08:55:45.87
13,S,08:55:46.31,,,,08:55:46.31
13,S,08:56:11.41,37,,,08:56:11.41
13,S,08:56:11.88,,,,08:56:11.88
13,S,08:56:35.26,9,,,08:56:35.26
13,S,08:56:35.71,,,,08:56:35.71
13,S,08:57:10.14,21,,,08:57:10.14
13,S,08:57:40.37,29,,,08:57:40.37
13,S,08:57:40.94,,,,08:57:40.94
13,S,08:58:34.80,38,,,08:58:34.80
13,S,08:58:35.27,,,,08:58:35.27
13,S,08:58:59.48,28,,,08:58:59.48
13,S,08:59:00.22,,,,08:59:00.22
13,S,08:59:23.85,35,,,08:59:23.85
13,S,08:59:24.64,,,,08:59:24.64
13,S,08:59:46.16,44,,,08:59:46.16
13,S,08:59:46.23,,,,08:59:46.23
13,S,09:00:31.51,7,,,09:00:31.51
13,S,09:00:32.47,,,,09:00:32.47
13,S,09:01:19.66,54,,,09:01:19.66
13,S,09:01:20.24,,,,09:01:20.24
13,S,09:02:10.27,56,,,09:02:10.27
13,S,09:02:11.18,,,,09:02:11.18
13,S,09:02:48.97,33,,,09:02:48.97
13,S,09:02:49.27,,,,09:02:49.27
13,S,09:03:24.92,58,,,09:03:24.92
13,S,09:03:25.92,,,,09:03:25.92
13,S,09:05:48.99,39,,,09:05:48.99
13,S,09:05:49.47,,,,09:05:49.47
13,S,09:06:15.83,55,,,09:06:15.83
13,S,09:06:16.26,,,,09:06:16.26
13,S,09:06:41.13,52,,,09:06:41.13
13,S,09:06:41.62,,,,09:06:41.62
13,S,09:07:05.60,41,,,09:07:05.60
13,S,09:07:06.15,,,,09:07:06.15
13,S,09:07:33.58,51,,,09:07:33.58
13,S,09:07:34.08,,,,09:07:34.08
13,S,09:08:01.57,45,,,09:08:00.57
13,S,09:08:01.32,,NG,NG,09:08:01.32
13,S,09:08:29.87,46,,,09:08:29.87
13,S,09:08:30.35,,,,09:08:30.35
13,S,09:08:54.92,57,,,09:08:54.92
13,S,09:08:55.42,,,,09:08:55.42
13,S,09:09:21.38,43,,,09:09:21.38
13,S,09:09:21.75,,,,09:09:21.75
13,S,09:09:48.11,47,,,09:09:48.11
13,S,09:09:48.64,,,,09:09:48.64
13,S,09:10:16.13,48,,,09:10:16.13
13,S,09:10:16.31,,,,09:10:16.31
13,S,09:10:43.58,61,,,09:10:43.58
13,S,09:10:44.28,,,,09:10:44.28
13,S,09:11:16.50,59,,,09:11:16.50
13,S,09:11:17.27,,,,09:11:17.27
13,S,09:12:36.22,53,,,09:12:36.22
